,id,rating,title_sin,artist,genre,music,song,writer,title_singlsh
44,44,613, රන් දුනුකේ ,ක්ලැරන්ස් විජේවර්ධන,පැරණි පොප්ස්,ක්ලැරන්ස් විජේවර්ධන,"රන් දුනුකේ මල සේ රන් මැනිකේ සැරසේ
පති කුලයේ කුමරා ඇය කැදවා යනවා
සුදු සේල ගතේ එතුනා 
ගෙල මාල හතක් බැදුනා
රස විහිලු කතා ඇසුනා  
මුව කොල සිනා පිපුනා 
ඇගෙ මෑණි පියා දෙදෙනා 
පොඩි දොනි කියා කියනා
මේ රූපෙ යොවුන් ලලනා 
අද දීග ගමන් යනවා
",ක්ලැරන්ස් විජේවර්ධන,Ran Dunuke
45,45,420, රම්බරි ,ලහිරු පෙරේරා,"නව පොප්,වත්මන් ගීත",ලහිරු පෙරේරා," 
රම්බරි කියපන් උඹෙ නොම්බරේ
තන්දුරි කමුද නොදා බරබරේ
වාකරෙ කවුද ඉන්නෙ ජරමරේ 
අම්පාරෙ මල්ලි නිදිද කාමරේ 
ජම්බෝලේ වගෙ ඉන්න සුන්දරා 
සම්බෝලෙ කොටල ගමුද ලුණු දමා
දංගොල්ලෙ මාම ඇවිත් මහ කුණා 
ගස් පල්ලෙ ඉඳන් බොමුද රා පෙරා
 
එන්න මල්ලි එන්න මල්ලි නැගිටලා 
මෙන්න මල්ලි මෙන්න මල්ලි රස කතා
පාන් බාගෙ කපල ගන්න ප්ලේන්ටි වක්කරල ගන්න 
එන්න මල්ලි එන්න මල්ලි නැගිටලා
එන්න නංගි එන්න නංගි හැඩදමා 
එළිවෙනකම් සින්දු කියමු රොක් වෙලා
ලෝකෙ තියෙන හොඳම සොමිය 
එළිවෙනකම් අපේ ජොලිය 
ගන්න නංගි ගන්න නංගි එක් වෙලා 
 
කන්ණඩි දැම්මත් නෑ හැඩවැඩේ 
කවුද මේක බාරගන්නෙ අන්තිමේ 
ලොරි බාගේ මට දුන්නත් හුටපටේ 
මෙහෙම කටක් දැක්කෙම නෑ මේ රටේ 
හුම්මානෙන් වතුර බොමුද සෝබනා 
හඳපානේ විරිදු කියමු රන්ජනා
ලොරි බාගෙන් රවුමක් යමු රෑ වෙලා 
මරදානෙන් පරාට කමු ලංවෙලා
 
සෙල්ලම් වලින් රට හොල්ලපු ලොකුසිරා 
ඇතුලෙ ඉඳන් ඊයෙ ඇවිත් ඒ හොරා
එහා ගෙදර මැගි අක්කට හරි හිනා 
මට නම් නෑ දිරවන්නේ ඔය කතා
මුරලි දැම්ම හොඳට දුස්රා අඹරලා 
සනත් ගැහුවා තිතට අනේ නෑ හිනා
ජොන් සීනා කාල හොඳට පෙරේදා 
එත් වහලෙ හිලෙන් වතුර ගැලුව රෑ පුරා
",ලහිරු පෙරේරා,Rambari
46,46,500, රමනී ,ඇනස්ලි මලවානා,පැරණි පොප්ස්,නොදන්නා," 
 
 
රමනී සැනසුම ගෙන දෙන දුවනී
කමනී නිවසට පහණය රමනී
දුවනී හද විලෙහි කැකුළ බැවිනී
රමනී සෙනෙහස ඔබ හට බැඳිනී
අතට වඩා බෝනික්කෝ නලවා
ගතට මලින් පිරි ඇඳුමක් ඇඳලා
සිතට සදා සැනසුම දී රඟලා
සැමට වඩා අප සෙනෙහස ඔබ දිනුවා
[දුවනී හද විලෙහි කැකුළ බැවිනී
රමනී සෙනෙහස ඔබ හට බැඳිනී]
බලන බැලුම් ඔබෙ නෙත් දෙක බබලන්න
කියන කියුම් අප කාගෙත් සිත් ගන්න
කරන කෙරුම් සුරතල් බව පවසන්න
සතුට සදා ඔබ අප හට ගෙන දෙන්න
                                         
 
 
",නොදන්නා,Ramani
47,47,1123,රැල්ලෙන් ‍රැල්ලට,විජය කුමරතුංග,පැරණි පොප්ස්,සරත් දසනායක,"රැල්ලෙන් ‍රැල්ලට පාවෙන ඔරුවේ
යන්නම් දියඹට රෑ යාමේ//
අඹු දරුවෝ මා දෙවියො රකීවා
එනතුරු මා උදේ මා
ගොම්මන් රෑ මහ සාගර අඳුරේ
හෝ හෝ හඬ කැරකේ
යන්නම් ඈතට මේ කර දියරේ
ඉරණම රෑ ගමනේ
දුර වෙරළේ මේ යාමේ සැතපේවා මගෙ දරුවෝ
කඩමලු වූ පන් පැදුරේ තනි වේ මා..සාගරයේ
ලන්තෑරුම් එළි සුළඟට නිවුණා
කම්පා වේ හද මා
මන්දාරම් වැහි ඈතින් එනවා
මූහුදේ ජල කළඹා
අසරණයෝ මා වාගේ දෙවියනි කෝ දිළිඳු මගේ
රැකදේවා අසරණ මා තනි වේ මා..සාගරයේ
 
",අජන්තා රණසිංහ,Rallen Rallata
48,48,1059,රැලකින් තනි වී,අබේවර්ධන බාලසූරිය,"ක්ලැසික්,ඉල්ලීම",රොහාන වීරසිංහ,"  
රැලකින් තනි වී වනමැද සරනා
කැකුලු තුරුණු යාමේ
ඇතෙකුට ඇත් දළ යුවලක් වාගේයි
මට ඔබගේ ප්‍රේමේ
හබල බිඳී ගොස් පෙරළුණු ඔරුවක්
ලෙස පාවෙන දිවියේ
රුවල් මසා දී ගොඩ ගනු රිසියෙන්
වෙහෙසෙන මියුලැසියේ
තුඩ තුඩ තබමින් නෙක නෙක පලවැල
කවා පොවා සනහා
පෙරුම් පුරනවද මතු බුදු වන්නට
මට දී රැකවරණා
                                         
  
 
",ලව්ලි ඩේ ඩි අල්විස්,Ralakin Thani Wee
49,49,541,රාජා ඕ මන්ගලියා,රොහානා බැඩ්ගේ,ක්ලැසික්,රොහානා බැඩ්ගේ,"රාජා ඕ මන්ගලියා මේ ගුරුවර අම්මා මෝ 
කාපනයන් යායි යායී - රාජා ඕ මංගලියා// 
රන් කෙන්දේ එලඤ්ඤායි 
රන් කාඩු එලඤ්ඤායි//
බාලන්නො තව දුව ගෙන 
පුපුරු පුපුරැ පුරු - පුරුහෙළ පුරු හෙළ 
මංගච්චා හෝ මී ගොන් 
වරෙව් මාගෙ කුඩ නංගි මො
දුම් පල්ලයෙන් පන්නඤ්ඤායි 
රන් කඩුවෙන් කපඤ්ඤායි 
හන් පල්ලයෙ පුරවාපව්  
පුපුරු පුපුරැ පුරු - පුරුහෙළ පුරු හෙළ  
මේ මුල්ලෙන් ආ යුදෙන් ගෙනා දෙන් 
වරෙව් මාගෙ කුඩ නංගි මො ...
  
  
 
",රොහාන බද්දගා,Raja O Mangaliya
50,50,1599,රජ මැදුරක,මලනි බුලත්සිංහල,ක්ලැසික්,එච්. ජයවර්ධන,"රජ මැදුරක ඉපදී සිටියානම් 
නුඹත් රජෙකි පුතුනේ
හිරිකඩ බාගෙන පොල් අතු ඉගිලෙයි 
අද නුඹෙ සිරියහනේ
හීනෙන් හිනා නොවී මා හඬවාපන් මේ රෑ යාමේ
පුංචි පැටික්කන් මඟ දිග හඩවන 
සිල්ලර රසකැවිලි
දුව යන ඉගිලෙන විසිතුරු සෙල්ලම් 
යානා පෙනී පෙනී
අහක බලාගෙන මගදිග යන විට නෑ මට වාවන්නේ
හීනෙන් හිනා නොවී මා හඬවාපන් මේ රෑ යාමේ
ඉද හිට මොලවන ලිපත් දනී පුත 
කැද රස සුනු සහලේ
දිව බොදුනක් සේ දිව ගා ඇල්මෙන් 
අකුරට දිව යන්නේ
ඇදලා කල් ගිය රෙදි වැරලි නෑ මට වාවන්නේ
හීනෙන් හිනා නොවී මා හඬවාපන් මේ රෑ යාමේ
",ලුෂාන් බුලත්සිංහල,Raja Maduraka
51,51,619, රාජ කිරුළු පලාන්දාපු,එච්.ආර්.ජෝතිපාල,චිත්‍රපට ගීත,වික්ටර් රත්නායක,"රාජ කිරුළු පලාන්දාපු රජ්ජුරුවෝ
රටේ සෑමට ඉරේ සදේ එලිය ගෙනෙන රජ්ජුරුවෝ
සිරසට ඔටුනු පලන් මංගල්ලේ 
ජය පානෙන් මත් වන්නේ
	
 
අපිට රෑ දහාවල් වෙනසක් නැ ගෙයක් දොරක් නැ
අපිට අපේ කියා රෑක ගන්නට කිසිම දෙයක් නැ
එක බැම්මේන් එකට බැදෙනවා 
එක පොකුරට එකට සිටිනවා
 
පයට පාවඩ නැ උඩුවියනක් ඉහ මදුනට නැ
අපට මිතුරන් මිස ඉච්චාවට නැදැයින් නැ
අපි විතරයි අපට සිටින්නේ 
මිය යන දා එකට මියෙන්නේ
",ප්‍රභාත් මනාවසිංහ,Raja Kirulu Palandapu
52,52,1378, රහසේ හඬනා ,"නීලා වික්‍රමසිංහ,ක්ලැරන්ස් විජේවර්ධන",පැරණි පොප්ස්,ක්ලැරන්ස් විජේවර්ධන,"රහසේ හඬනා අප හැඟුම්
ලොව නෑ දන්නේ අප පැතුම්
 ලා සඳු පායනා රැයේ
පිණි සේ තරු සේ
තනි වී තැවෙනා පෙම් සුසුම් 
හිරිමල් වයසේ සෙනෙහෙන් බැඳී එදා
මතකේ නොමියේ ඔබ මා සිතින් සදා
ආදරයේ රස මියුරු වේදනා
සඳ රෑ සිහිනේ සෙවණැල්ල සේ වෙලී   
ඉමු අපි සොඳුරේ සුපුරුදු ලෙසින් බැඳී
ආදරයේ රස මියුරු වේදනා
",කිත්සිරි නිමල් ශාන්ත,Rahase Handana
53,53,346,රෑ වීලා ඇයි මේ උදේ,මිල්ටන් මල්ලවරාච්චි,පැරණි පොප්ස්,ස්ටැන්ලි පියරිස්,"රෑ වී..ලා ඇයි මේ උදේ  //
අද අරුණෝදේ ඔබ ගිය මොහොතේ 
රෑ වාගෙයි පාළුයි ප්‍රියේ
උණ පදුරැ හෙවනේ ඔබ නෑ උදේ 
රතු පාට සේලයෙන් හැඬවූ ලඳේ
වැහි බර වීලා - මගෙ හිත පාළුයි 
ඔබ නේන මිදුලේ මල් වැට දිගේ 
සිරියාව නෑ ප්‍රියේ වෙනදා වගේ
හෙට උදයේ හෝ - ඔබ එනවාදෝ
",අජන්තා රණසිංහ,Rae Weela Ai
54,54,1482,රෑ හඳේ හේනකින්,"සරෝජිනී සරෝජිනී,ඩබ්ලිව්.ඩී අමරදේව","ක්ලැසික්,යුගල",වික්ටර් රත්නායක,"        
රෑ ….       රෑ හඳේ හේනකින් 
සීපද ඇහුනයි සීපද ඇහුනයි
හී ….       හීනෙකින් ඒ හඬට 
මගෙ හිත බැඳුනයි මගෙ හිත බැඳුනයි
        
රෑණ බඹරු වටකර ගත් වැටකේ මල වැන්නේ
නුඹෙ රූ වරුණා සීපද මට කියන්න හිත දෙන්නේ
මී ….       මීරකින් කීවොතින් 
ගී කවි සින්දු ගී කවි සින්දු
ආ ….       ආදරෙයි කෝළ පෙම් 
රූබර ලන්දු රූබර ලන්දු
හව් හරනෙට පැල ඉනි වැට විතරයි කල එළියේ
මා කාන්සියේ රෑ වරුවම හිරිමල් සුරතලියේ
පා ….        පාළුවේ රෑ දවල්
කිමද තැවෙන්නේ කිමද තැවෙන්නේ
ගං ….       ගංගොඩින් කවුරු හෝ 
කැන්දන් එන්නේ කැන්දන් එන්නේ
නපුරු බහට සුබා රුසිරු අඩුවක් නොම වන්නා
රෑ බැත පාගන කමතෙදි කවි කියමුද අපි දෙන්නා
        
        
 
",ලුෂාන් බුලත්සිංහල,Rae Hande Heenekin
55,55,1353, රාධා ක්‍රිෂ්ණා ,අමරා රණතුංග, , ," 
රාධා ක්‍රිෂ්ණා රාමා සීතා 
කිසි ලෙසකින් හෝ නොවෙමු අපි 
සාලිය මාලා ගාමිණී චීත්රා 
කිසිලෙසකින් හෝ නොවෙමු අපි
අප පෙම හමුවේ ඔවුන් ළදරුවෝ 
ආදරයේ රන්කිරි කට ගෑ
 
පියවි ලොවේදී ඇතිවෙනතුරු අපි සිනාසෙමු 
සිහින ලොවේදී රෑ තුන් යම අපි සිනාසෙමු 
ගතින් නොබදුනත් දිවිය පුරා 
අපි සිනා සෙමු - සිනාසෙමු 
 
අරුනලු සිඹ සිඹ සුර්යකාන්ත මල සිනාසෙතේ 
සඳකැන් සිඹ සිඹ කොඳමල් සඳ හා සිනාසෙතේ 
හිරු සඳු කුමටද අප හද මල් නීති 
සිනාසෙතේ ....සිනා සෙතේ
", ,Radha Krishna
56,56,270,රෑ පුරා,රූකාන්ත ගුණතිලක,වත්මන් ගීත,චතුරංග ද සිල්වා,"රෑ පුරා පෙනෙනා නිසා ඇස් පියන් ඉන්නවා 
මේ තරම් කියනා නිසා හාදුවක් එවනවා
ඊයේ වාගේ රණ්ඩු වෙන්නෑනේ 
හිත රිදුනා කියලා කහටක් නම් නෑ නේ 
 				
හුරතල් කෙරුවා මට නම් මදි වාගේ 
තුරුලේ ඉඳලා ආදරෙමයි කිවේ
 				
කාගේ කවුදෝ කොයිදෝ ඉඳලා ආවේ
නොකියා ඇවිදින් ඇස් දෙකේමයි උන්නේ
			
 
			
",සම්පත් ප්‍රනාන්දු පුල්ලේ,Raa Pura
57,57,616,රෑ වැඩ මුරය,සුනිල් එඩිරිසිංහ,ක්ලැසික්,රොහාන වීරසිංහ,"                                          
          
රෑ වැඩ මුරය අවසන් වන කණිසමට
නුඹෙ මුව පෙනෙයි පරවුණු කුසුමක් ලෙසට
අරුණළු කැරලි වැටෙනා සඳ අළුයමට
නුඹේ ලොවට රෑ වෙයි පෙර කල පවට
 
තුන් තිස් පැයේ දෑඟිලි නිදි වරන්නේ
නිල් එළියටයි පෙති ගෝමර දැවෙන්නේ
මල් විය නොවෙද මේ දියකර හරින්නේ
මැසිමද හිතද මහ හයියෙන් හඬන්නේ
 
නුඹෙ කඳුලැලිද සයුරේ රළ නඟන්නේ
හද සුසුමන්ද පවනක් වී හමන්නේ
තනි නොතනියට හෙවනැල්ලද සිටින්නේ
ඇඳුමද නුඹේ ජීවිතයද මහන්නේ
            
 
",බන්දුල නායකකරසන්,Ra Weda Muraya
58,58,1272,රෑ සිහිනෙන්,නාමල් උදගම්,නව පොප්,නාමල් උදගම්,"රෑ සිහිනෙන් ඔබ ලඟ මා සැනසෙනවා
මා සැබැවින් ඔබ ගැන සිත ලතැවෙනවා//
මේ බැදුණු සෙනේ කෙදිනද මා පවසන්නේ
ආදරිය කියා කෙලසද මා අමතන්නේ
අපේ ලොවේ කෙදිනද අප තනි වන්නේ 
ඈ සනසවමින් මේ ගී වැල් ගයමි මෙමා
මේ මිහිරි ලොවේ සැනසුම් මා ලැබගන්නම්
කුමරියනේ කිමද මා ගැන නොසිතන්නේ
 
",නාමල් උදගම්,Ra Sihinen
59,59,341,රැ සීත නලවල් ඇදී,ක්ලැරන්ස් විජේවර්ධන,"ගෝල්ඩන් පොප්,ඉල්ලීම",ක්ලැරන්ස් විජේවර්ධන,"රැ සීත නලවල් ඇදී 
බෝමළුවේ ලාපත් සැලී
සැනසේවි මා හද නිවී//
 
ආශාවෙ රෑනෙන් මිදී 
සංසුන්ව සිත සංසිදී
සොඳුරී කැළුම් රන් සැලී
සෝ දුක් නොවේවා යළී
මල් තෙල් පහන් දැල්වෙනා 
සිසිලෙන් පැතූ කල්පනා
පිබිදී නැගී වේදනා
සුසුමන් හදින් පාවුනා
 
  
",අජන්තා රණසිංහ,Ra Seetha Nalawal
60,60,1133, රෑ පැල් රකින ,"පූජා එඩ්වඩ්,අබේවර්ධන බාලසූරිය","පැරණි පොප්ස්,යුගල",සරත් දසනායක,"රෑ පැල් රකින කුරහන් පැහෙනා හේනේ
මගෙ තනි නොතනියට නුඹවත් නැතුවානේ
හෙට දින නුඹත් දීගෙක ගිය පසු නෑනේ
මාසේ පෝය දා ‍වාගෙයි ගම්මානේ
 
එගොඩහ ගොඩේ ඉස්මත්තෙදි දුටුවාට 
ඇළ කණ්ඩියේ ඉදගෙන අත වැනුවාට 
මගෙ හිතු මනාපෙට මං බහ දුන්නාට
නාඩන් මස්සිනේ පෙර පින් නැතුවාට
 
හැදුවේ ගෙපැල මට තනියෙන් හිදින්නද 
බාලේ ඉදන් බැදි ආලේ බිදින්නද 
රෑ තුන්යමේ මේ හැටි දුක් ගෙවන්නද
සිහිනෙන් මිසක හැබැහින් එක් නොවන්නද
 
නෑනා නැතත් කල දවසක් ගෙවෙන්නයි
සිටු කුමරියක් කරකාරෙට ලැබෙන්නයි
පත්තිනි ගම්බාර දෙවියන් රකින්නයි
කුරහන් කපන දා මා සිහිකරන්නයි
",අජන්තා රණසිංහ,Ra Pal Rakina
61,61,2180, රෑ දවල් මල් හැඟුම්,"ඇන්ජලින් ගුණතිලක,එච්.ආර්.ජෝතිපාල","චිත්‍රපට ගීත,යුගල",පී.එල්.ඒ.,"රෑ දවල් මල් හැඟුම් සිරි පානා
මනරම් සිහිනෙකි මට පේනා
ලල්ල ල ලල්ල ල ලාලා ලල්ල ල ලල්ල ල ලා
ලල්ල ල ලල්ල ල ලාලා ලල්ල ල ලල්ල ල ලා
 
හිනැහෙන විට මුතු දිලිහෙනවා
නළලෙහි අඞසඳ බැබලෙනවා//
පැතුමට බැරි රෑ කාටදෝ
සිතනා විලසට සිදුවේදෝ
 
ගීතෙක රස ඉතිරේ මුවගින්
නා දළු ලෙල දෙනවා තොලගින්//
අප සිඹ සිඹ හමනා සුලඟේ
යළි හමුවන්නේ කොතැනදෝ
",කරුණාරත්න අබේසේකර,Ra Dawal Mal Hangum
62,62,555, රෑ අඳුරේ ,ඇත්මා ලියානගේ,නව පොප්,ඇත්මා ලියානගේ,"හෝ  ඕ ඔ ඕ……හෝ  ඕ ඔ ඕ
රෑ අඳුරේ.. සයුරේ පාවී..
..ඈත යාවී..   ඈත යාවී..
හෝ  ඕ ඔ ඕ……හෝ  ඕ ඔ ඕ
 
 
දෑතේ සවී හබලේ රැඳී පාවෙන්නේ රෑ යාමයේ 
දෙවියනි ඔබේ සරණය ලැබී පිරවෙන්නේ මඩියයි අපේ 
    
 
වෙරළේ පැලේ සොඳුරිය මගේ  අයදින්නේ පිහිටයි ඔබේ 
දෙවියනි ඔබේ සරණය ලැබී රැකදෙන්නෙ ජීවේ අපේ
 
සුළගේ සෙනේ රුදුරුයි වගේ ඔරුවේ රුවල් බිඳ වැටේ 
දෙවියනි ඔබේ සරණය ලැබී ගෙනයන්න ගොඩබිම වෙතේ
 
සයුරේ ජලේ සැමදා මෙසේ දියවේදො අප ජීවිතේ 
දෙවියනි ඔබේ සරණය ලැබේ කිසිදාක සැකයක් නැතේ
 
 
",උපාලි රංජිත් පතිරාජ්,Ra Andure
63,63,2029, රෑ අහසේ ,ඇත්මා ලියානගේ, ,ඇත්මා ලියානගේ,"රෑ අහසේ තරු කැට පායා දිලුනා
මා තනි වී සිතිවිලි සයුරේ වෙලුනා
 
 
තරු එළියක්‌ වී දෙනෙතට වැටිලා
සඳ කිරණින් ඔබෙ මුහුණ සේදිලා 
ආදරයෙන් අප පියමං කෙරු හැටි 
තරුකැට මා මතකයට ගෙනෙනවා 
සිතට දැනෙනවා
    
 
ඔබේ සුමුදු අත මා අත් පටලා 
තරු දහසක්‌ පායා ඇති දිනයක 
පියමං කෙරුවා පෙර අප දෙදෙනා 
තරු කැට අතරේ රැඳී දිලෙනවා 
සිතට දැනෙනවා
",ප්‍රේම් ලාල්,Ra Ahase
64,64,1371, පුර්තුගීසිකාරයා,එච්.ආර්.ජෝතිපාල,චිත්‍රපට ගීත,සුනිල් ශාන්ත,"පුර්තුගීසිකාරයා රටවල් අල්ලන්න සූරයා
හතුරු රාජ මාරයා මුලු ලෝ හොල්ලන්න වීරයා ..//
	
 
කොළඹට ආවේ ඉඳලයි ලිස්බන් නගරේ (ආ..)
අප ආ පාරේ පැතිරෙයි විනෝද මිහිරේ  (ආ..) ..//
පැතිරෙයි විනෝද මිහිරේ පැතිරෙයි විනෝද මිහිරේ  
විනෝද මිහිරේ
 
ඒක උගන්වන්න තමයි යුද්ද කරන්නේ (ආ..)
කාලතුවක්කුයි බයිනෙත්තුයි හරවන්නේ  (ආ..) ...//
බයිනෙත්තුයි හරවන්නේ බයිනෙත්තුයි හරවන්නේ
විනෝද මිහිරේ			   
 
අපේ තුවක්කු ඉහළම කාලතුවක්කු (ආ..)
ගහන්න වෙනවා වැදුනොත් ලෝකෙට මුක්කු  (ආ..)...//
වැදුනොත් ලෝකෙට මුක්කු වැදුනොත් ලෝකෙට මුක්කු
විනෝද මිහිරේ
 
කන්න හපන්නූ බොන්නත් හරිම හපන්නූ (ආ..)
ඊටත් වැඩියෙන් යුද්දෙට හරිම හපන්නූ  (ආ..) ...//
යුද්දෙට හරිම හපන්නූ යුද්දෙට හරිම හපන්නූ
විනෝද මිහිරේ
",අරිසන් අහුබුදු,Purthugeesi Karaya
65,65,907, පුන් සඳ රන්තරු ( මල් එතනෝ ),එච්.ආර්.ජෝතිපාල,ගෝල්ඩන් පොප්,මිල්රෝයි ධර්මරත්න,"පුන් සඳ රන්තරු ගිලිහෙද්දෙන්
සුන්දර ළා හිරු නොනැගෙද්දෙන්
ඔබ මා ළඟ නිරතුරු පසුවෙද්දෙන්
නෙත් පහනින් පැල එළිවෙද්දෙන්
මල් එතනෝ - ප්‍රිය මල් එතනෝ
මගෙ හද ඔබ ළඟ මල් එතනෝ
	
 
ගෙල වට කර හත් ඉරි වැටිලා
අඞසඳ නළලෙහි ඇත ඔබලා
ඔබේ දෙතොළඟ නා දළු පැහැ ගැහිලා
මුවතුල ගජමුතු ඇත පිරිලා
 
උකුළු මුකුළු දෙන කැකුළු සිනා
එකලු වෙමින් මුව තුරුළු වුණා
නිල්මිණි කැල්මෙන් බැල්මෙන් හෙළනා
මා පිංකළ බව මට හැඟුණා			   
",කරුණාරත්න අබේසේකර,Punsanda Rantharu ( Mal Ethano )
66,66,405,පුන් පෝදා සඳ,මලනි බුලත්සිංහල,පැරණි පොප්ස්,එච්. ජයවර්ධන,"පුන් පෝදා සඳ ඔබ ගෙන ආවොත්
මල් වට්ටියකට අරගන්නම්
ඔබ හැමදාමත් ඉල්ලන තරු මල්
එයට නෙලා පිළිගන්වන්නම්//
දේදුන්නක් ඔබ මට ගෙන ආවොත්
විසිතුරු සළුවක් වියමි එයින්
පරසතු උයනේ සක්මන් කරනට 
ඉන් සැරසී ඔබ හා එන්නම්
බිඟුතුඩු නොවැදුනු පියුම ගෙනාවොත්
මානස විල මත පිපුනු සැනින්
නැවුම් පෙමට පෙම වෙහෙසෙනු පෙම්වත
යලි උපදිමි ඒ පියුමින් මං
",ලුෂාන් බුලත්සිංහල,Punpoda Sanda
67,67,3634,පුර පෝය හඳට,සුනිල් එඩිරිසිංහ,පැරණි පොප්ස්,එච්. ජයවර්ධන,"                                        
පුර පෝය හඳට පෙමින් බැඳුනු තාරකා ළඳුන්
ගී හඬින් කියන පෙම් කතාව අසාගෙන වරෙන්
නීල වළාවේ
ඇගෙ පෙම් කතාව අසාගෙන වරෙන්
 				
 
මුතු මාල පොටක් ගෙලේ බදින දා
සිත කොල සිතුම් එබී බලන දා
රෑ නින්ද නැතිව හීන දුටුව දා
හිත ආදරයක බැඳුනි ද මන්දා
 
රන් තොරණ සැදී මඟ සරසණ දා
හඳ රබන් සුරල් හඬින් වැයෙන දා
නෑ හිත මිතුරන් හිනා පුරන දා
හිත ආදරයක බැඳුනි ද මන්දා
                                        
 		
 
",සුනිල් ආර් ගමගේ,Pura Poya Handata
68,68,416, පුංචි පුතා මගෙ,ඇන්ජලින් ගුණතිලක,"දේවානුභාවයෙන්,පැරණි පොප්ස්",ක්ලැරන්ස් විජේවර්ධන," 
    
පුංචි පුතා මගෙ ඉස්කෝලේ ගිය
මුල්ම දවස අද වේ මුල්ම දවස අද වේ
බුලත් අතක් දී ගුරුතුමියට වැඳ
මා තනි කල මොහොතේ මා තනි කල මොහොතේ
අද සිට පුතුනේ හොඳින් ඉගෙන ගෙන
මතු යම් දවසක වියතෙක් වනු මැන
සිතින් පැතුම් පතලා ඔහු පන්තියෙ තියලා
මා වෙන්වුණ මොහොතේ
පුංචි ඇස් දෙකේ කඳුළු බිඳු දෙකයි
ඔන්න වැටෙන්නට මෙන්න වැටෙන්නට
සෙනෙහස ම හදේ ගිණි ඇවිලෙද්දි
පුතු තනි කරලා පන්තියෙ තියලා
මල් ගස් යට සෙවණේ පුතුගෙ සුවඳ පවනේ
මා තනි වූ මොහොතේ
පන්තිය නිම වී පුතු ඇවිදිල්ලා
හිනැහෙන දෑසයි ලස්සන මුහුණයි
 
    
                                 
 
",ධර්මසිරි ගමගේ,Punhi Putha Mage
69,69,760, පුංචි ගිරවෝ,අනිල් භාරතී,ගෝල්ඩන් පොප්, ,"පුංචි ගිරවෝ - පුංචි ගිරවෝ
පුංචි ගිරවෝ ඔබ ඇයිද කූඩුවේ
රංචු ගැසිලා - රංචු ගැසිලා
රංචු ගැසිලා ඉගිලෙන්න යැළුවේ
ඉගිලිලා යන නිසා විලංගු දාලා
නපුරු කමට නුඹව අල්ලලා
කූඩුවේ හිර කළා නේද කුරුල්ලෝ
කවදද නුඹ යන්නෙ පියඹලා 
කූඩුවේ තනිවෙලා ඉන්න කුරුල්ලෝ
මමත් නුඹ වගේම අසරණයි 
ගිය නිසා මා සොයා මගේ කිරිල්ලීද
අනේ මමත් ඉන්නෙ කොටුවෙලා
", ,Punchi Girawo
70,70,3647,පුංචි දවස් වල,සුජාතා අත්තනායක,ක්ලැසික්,සරත් දසනායක,"පුංචි දවස් වල නින්දට යද්දී
පීතු පාදන් නමාමහන් කියලා
වැන්ද දෙපා යලි අදත් වදින්නම්
මංගල ගමනට යන්න අවසරයි පියානෙනි
මල් බෝනික්කන් පූසි පැටව් ටික
පාට ගවුම් පොඩි අද තනිවෙනවා//
පියානෙනි ඔබෙ ආසිරි විද විද
ඉරණම් ගමනක් යන්නට යනවා
       
පියානෙනි ඔබෙ පුංචි කුමාරිය
පුංචි මනාලිය වී යන දවසේ
එපා අඬන්නට එපා අඬන්නට
පුංචි මුණුබුරෙක් 
කැන්දන් එන්නම් මා හෙට දවසේ 
 
       
",අජන්තා රණසිංහ,Punchi Dawaswala
71,71,957,ප්‍රේමයේ විල් තෙරේ,මලනි බුලත්සිංහල,පැරණි පොප්ස්,එච්. ජයවර්ධන,"ප්‍රේමයේ විල් තෙරේ යෞවනේ මල් වනේ
ඇසෙන මේ ගී මියුරු රාවේ
සිතක ආරාධනා
ප්‍රේමයේ විල් තෙරේ
 				
සුසුදු හසකැන් සලා දෑස පෙරුමන් පුරා
පාළුවේ තනිවෙලා කාටදෝ ඉඟි කළා
සීත පවනැල් ගලා නීල තුරු මල් සලා
ආදරෙන් පිබිදිලා ලෝකයම හිනැහිලා
 			
 
",කුලරත්න ආරියවන්සන්,Premaye Wilthere
72,72,473,ප්‍රේමේ දීපශිකා,"ඇන්ජලින් ගුණතිලක,එච්.ආර්.ජෝතිපාල","ඉල්ලීම්,ගෝල්ඩන් ඕල්ඩීස්,duet,චිත්‍රපට ගීත",නොදන්නා,"ප්‍රේමේ දීපශිකා ඕ කාන්ති කාන්ති නගා
දැල්වේවී රඟා ආලෝකේ විහිදා//
ප්‍රේමේ දීපශිකා
 
කුසුම් රොන් උරා බී බඹරා බඹාවී 
ආනන්ද පෙම්වනේ සුන්දර ජීවිතේ
ජීවන උයනේ පෙම් මල මානේ
බඹරා ඔබයි ප්‍රියේ පියඹා එනු වහා රටා මවා 
අපේ පෙම් කතාවේ කුමරා සුදා වේ
කුමරිය මම වෙමි රාජධානි ජීවිතේ
අමා ඕගෙ ගලනා ගිලී නාමු පීනා
රැළි එයි ඔබයි සුදෝ ගලා එන්න හාදු දී හෝ ගා රැල් නගා
",නොදන්නා,Preme Deepashika
